overall_rating,rating_norm,rating_label,likes,like_sent_label,like_sent_score,dislikes,dislike_sent_label,dislike_sent_score,text_combined,text_sent_label,text_sent_score,consistency_label,rag_explanation,title,department,date
5.0,5.0,1,All senier are supporting the team and do it the team work,POSITIVE,1.0,,NEUTRAL,0.0,all senier are supporting the team and do it the team work,POSITIVE,0.5,GENUINE,,Sales And Promotion Executive,Retail & B2C Sales Department,0 Apr 2022
2.0,2.0,-1,Not a good company to work with.. BRAND IS RUNNING BECAUSE OF ITS GOODWILL MADE BY PEOPLE EARLIER AND WITH STRONG PRODUCT FEATURES AND TECHNOLOGY,NEGATIVE,-1.0,ALL 360 DEGREE,POSITIVE,1.0,not a good company to work with.. brand is running because of its goodwill made by people earlier and with strong product features and technology all 360 degree,POSITIVE,0.25,INCONSISTENT,,BMM,Marketing Department,9 Apr 2022
4.0,4.0,1,Working standards very high,POSITIVE,1.0,Far from city,POSITIVE,1.0,working standards very high far from city,NEGATIVE,-0.5,INCONSISTENT,,Graduate Engineer Trainee,Engineering & Manufacturing Department,9 Mar 2022
4.0,4.0,1,Best forklift driver and best forklift cliemp,POSITIVE,1.0,Best for forklift Operator and best work,POSITIVE,1.0,best forklift driver and best forklift cliemp best for forklift operator and best work,POSITIVE,1.0,GENUINE,,Forklift Operator,Content Management (Print / Online / Electronic) Department,4 Jan 2022
4.0,4.0,1,Good place to learn,POSITIVE,1.0,Management,POSITIVE,1.0,good place to learn management,POSITIVE,0.5,GENUINE,,Coimbatore,,6 Aug 2022
5.0,5.0,1,"Good work environment and culture. Teammates & Senior's are supportive and management is transparent. Company policies are good, appraisal are fair and they give good salary and bonus every year.",POSITIVE,1.0,Salary is decent but career growth is slow.,NEGATIVE,-1.0,"good work environment and culture. teammates senior's are supportive and management is transparent. company policies are good, appraisal are fair and they give good salary and bonus every year. salary is decent but career growth is slow.",POSITIVE,0.25,GENUINE,,Dso,Sales Support & Operations Department,9 Jan 2022
5.0,5.0,1,Everything is good,POSITIVE,1.0,No Dislike,POSITIVE,1.0,everything is good no dislike,POSITIVE,1.0,GENUINE,,Team Leader,Sales Support & Operations Department,4 Apr 2022
5.0,5.0,1,Here is work security is good but who's workers working here as a third party payroll for that's culture is not very good and company facilities Also not same both are payroll and offroll.,NEGATIVE,-1.0,Not proper digestion and for third party payroll for not a good culture and also not proper grouth in feature,NEGATIVE,-1.0,here is work security is good but who's workers working here as a third party payroll for that's culture is not very good and company facilities also not same both are payroll and offroll. not proper digestion and for third party payroll for not a good culture and also not proper grouth in feature,NEGATIVE,-0.75,INCONSISTENT,,Senior Mis Executive,Finance & Accounts Department,6 Aug 2021
5.0,5.0,1,Very good system to work,POSITIVE,1.0,Good work,POSITIVE,1.0,very good system to work good work,POSITIVE,0.75,GENUINE,,Senior Engineer -materials,Procurement & Purchase Department,4 Apr 2022
4.0,4.0,1,Ok working condition,POSITIVE,1.0,Company policies,NEUTRAL,0.0,ok working condition company policies,POSITIVE,0.25,GENUINE,,Manager Hrd,,5 Jun 2022
3.0,3.0,0,All good,POSITIVE,1.0,Work life balance,POSITIVE,1.0,all good work life balance,POSITIVE,0.75,AMBIGUOUS,,Area Service Manager,Operations Department,6 Feb 2022
4.0,4.0,1,Aggressivness,NEGATIVE,-1.0,Work - life balance,POSITIVE,1.0,aggressivness work - life balance,NEGATIVE,-0.25,INCONSISTENT,,Manager,Enterprise & B2B Sales Department,0 Apr 2022
5.0,5.0,1,Yes,POSITIVE,1.0,In lg work like very nice,POSITIVE,1.0,yes in lg work like very nice,POSITIVE,1.0,GENUINE,,Seles Executive   (working remotely),Retail & B2C Sales Department,1 Jan 2023
3.0,3.0,0,Incentives and lots of work,POSITIVE,1.0,Too much work… No personal life.. Lots of politics in promotions…,NEGATIVE,-1.0,incentives and lots of work too much work no personal life.. lots of politics in promotions,NEUTRAL,0.0,AMBIGUOUS,,Manager - Retail Marketing,Marketing Department,0 May 2022
3.0,3.0,0,Job security,POSITIVE,1.0,No work satisfaction,NEGATIVE,-1.0,job security no work satisfaction,NEGATIVE,-0.25,AMBIGUOUS,,Assistant Manager - Corporate Planning,Finance Department,8 Apr 2022
5.0,5.0,1,Good environment with ethics..,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,good environment with ethics.. nothing,NEGATIVE,-0.25,INCONSISTENT,,Manager AR Credit Insurance,,2 May 2022
4.0,4.0,1,Job security,POSITIVE,1.0,Nothing  in this company,NEGATIVE,-1.0,job security nothing in this company,NEGATIVE,-0.25,INCONSISTENT,,Hr Specialist,,6 Jul 2022
5.0,5.0,1,Good product,POSITIVE,1.0,Not dislike only like,POSITIVE,1.0,good product not dislike only like,POSITIVE,0.25,GENUINE,,Job Trainee,Worker Helper teem leader  Department,1 Jun 2022
3.0,3.0,0,On time salary and job security,POSITIVE,1.0,Work life balance,POSITIVE,1.0,on time salary and job security work life balance,POSITIVE,0.75,AMBIGUOUS,,Senior Design Engineer,Engineering & Manufacturing Department,4 Apr 2023
3.0,3.0,0,Nothing,NEGATIVE,-1.0,Work Life balance and No global systems are used..very hard to find another job because of  korean way of working,NEGATIVE,-1.0,nothing work life balance and no global systems are used..very hard to find another job because of korean way of working,NEGATIVE,-0.5,AMBIGUOUS,,Senior Engineer,Engineering Department,7 Feb 2022
4.0,4.0,1,Good experience job skills,POSITIVE,1.0,Yearly no growth salary,NEGATIVE,-1.0,good experience job skills yearly no growth salary,NEGATIVE,-0.25,INCONSISTENT,,Sales Executive,,5 Apr 2022
5.0,5.0,1,Great job it was a good time when I am working in LG,POSITIVE,1.0,Management and facilities,POSITIVE,1.0,great job it was a good time when i am working in lg management and facilities,POSITIVE,0.75,GENUINE,,Store Sales Executive,,7 Mar 2022
5.0,5.0,1,Very supportive culture no political.,POSITIVE,1.0,Poor Increment.,NEGATIVE,-1.0,very supportive culture no political. poor increment.,NEGATIVE,-0.75,INCONSISTENT,,Senior Service Officer,Construction Engineering Department,3 Dec 2022
5.0,5.0,1,I liked to work lg company,POSITIVE,1.0,"Worst experience and poor leadership, and HR,",NEGATIVE,-1.0,"i liked to work lg company worst experience and poor leadership, and hr,",NEGATIVE,-0.25,INCONSISTENT,,Data Engineer,Software Development Department,7 May 2022
1.0,1.0,-1,"Career growth is very slow, the work pressure is very high , Managers do not value an individuals ,managers are don't have any power to take decision, they work like a puppets of Korean leadership.",NEGATIVE,-1.0,Overall Good,POSITIVE,1.0,"career growth is very slow, the work pressure is very high , managers do not value an individuals ,managers are don't have any power to take decision, they work like a puppets of korean leadership. overall good",NEUTRAL,0.0,AMBIGUOUS,,Deputy Manager Supply Chain,scm Department,0 Aug 2021
4.0,4.0,1,Nothing,NEGATIVE,-1.0,Good work environment,POSITIVE,1.0,nothing good work environment,NEGATIVE,-0.25,INCONSISTENT,,Area Sales Manager,Retail & B2C Sales Department,2 Feb 2022
5.0,5.0,1,Slow salary growth,NEGATIVE,-1.0,Good work environment and culture,POSITIVE,1.0,slow salary growth good work environment and culture,NEUTRAL,0.0,AMBIGUOUS,,Sr. General Manager Corporate Planning,Finance Department,9 Apr 2022
5.0,5.0,1,Career growth is slow,NEGATIVE,-1.0,Lg working  everyday new technology to progress,POSITIVE,1.0,career growth is slow lg working everyday new technology to progress,POSITIVE,0.25,GENUINE,,Team Leader,Marketing Department,3 Jan 2022
5.0,5.0,1,Not growth,NEGATIVE,-1.0,Nothing,NEGATIVE,-1.0,not growth nothing,NEGATIVE,-1.0,INCONSISTENT,,Refrigeration Technician,Gas charging refrigerator Department,6 May 2022
4.0,4.0,1,Freedom to lead,POSITIVE,1.0,"Politics , long working hours",NEGATIVE,-1.0,"freedom to lead politics , long working hours",POSITIVE,1.0,GENUINE,,Assistant Manager Maintenance,,3 Jun 2022
5.0,5.0,1,Good to work at LG,POSITIVE,1.0,Not any issue,NEGATIVE,-1.0,good to work at lg not any issue,NEGATIVE,-0.25,INCONSISTENT,,Assistant Manager Operations,Stores & Material Management Department,2 Mar 2023
3.0,3.0,0,We are working as a team n our team supports each other when needed.,POSITIVE,1.0,People discriminate in on role and off role employees.  This company needs to improve.,NEGATIVE,-1.0,we are working as a team n our team supports each other when needed. people discriminate in on role and off role employees. this company needs to improve.,NEUTRAL,0.0,AMBIGUOUS,,Senior Officer,Operations Support Department,4 Oct 2021
5.0,5.0,1,Good work culture,POSITIVE,1.0,Nothing bad,POSITIVE,1.0,good work culture nothing bad,POSITIVE,0.25,GENUINE,,Deputy Manager,Operations Support Department,1 Sep 2022
5.0,5.0,1,Meets new learning,POSITIVE,1.0,shift time is not correct,NEGATIVE,-1.0,meets new learning shift time is not correct,POSITIVE,0.25,GENUINE,,Electrical Engineer,Maintenance Department,2 Apr 2022
5.0,5.0,1,We complete work on timely. Best service it gives.,POSITIVE,1.0,It gives preferred customer only.,POSITIVE,1.0,we complete work on timely. best service it gives. it gives preferred customer only.,POSITIVE,0.5,GENUINE,,Field Service Engineer,Non Voice Department,9 Nov 2022
5.0,5.0,1,Overall Good Experience.,POSITIVE,1.0,Need to focus on Work life balance more .,NEGATIVE,-1.0,overall good experience. need to focus on work life balance more .,POSITIVE,0.25,GENUINE,,Assistant General Manager,Procurement & Purchase Department,2 Feb 2022
5.0,5.0,1,Good Salary and good incentives,POSITIVE,1.0,Long Timing shifts,NEGATIVE,-1.0,good salary and good incentives long timing shifts,POSITIVE,0.5,GENUINE,,Senior Sales Executive,Enterprise & B2B Sales Department,7 Feb 2022
4.0,4.0,1,Good Brand,POSITIVE,1.0,Seniors,POSITIVE,1.0,good brand seniors,POSITIVE,0.5,GENUINE,,Sales Officer,Sales & Marketing Department,0 Dec 2020
5.0,5.0,1,All company management ok,POSITIVE,1.0,,NEUTRAL,0.0,all company management ok,POSITIVE,0.5,GENUINE,,Sales Executive,,9 Jun 2022
5.0,5.0,1,"Overall good,am satisfied, friendly environmental",POSITIVE,1.0,"Leave not satisfied, and increment not satisfied,",NEGATIVE,-1.0,"overall good,am satisfied, friendly environmental leave not satisfied, and increment not satisfied,",NEGATIVE,-0.25,INCONSISTENT,,Technical HE Engineer,"Operations, Maintenance & Support Department",0 Dec 2021
5.0,5.0,1,Job security,POSITIVE,1.0,Work culture,POSITIVE,1.0,job security work culture,POSITIVE,0.5,GENUINE,,Assistant Manager,Engineering & Manufacturing Department,0 Mar 2022
5.0,5.0,1,Good environment this working,POSITIVE,1.0,Fules commitment are dislikes,NEGATIVE,-1.0,good environment this working fules commitment are dislikes,NEUTRAL,0.0,AMBIGUOUS,,Sales Executive,Retail & B2C Sales Department,8 Jan 2023
5.0,5.0,1,KNOWLEDGE AND SKILL DEVELOPMENT,POSITIVE,1.0,Nobody,NEGATIVE,-1.0,knowledge and skill development nobody,NEUTRAL,0.0,AMBIGUOUS,,Senior Sales Executive,,6 Apr 2022
4.0,4.0,1,Good MNC company to work and you can learn many things,POSITIVE,1.0,Work life balance is a bit concerned especially in sales department,POSITIVE,1.0,good mnc company to work and you can learn many things work life balance is a bit concerned especially in sales department,POSITIVE,0.5,GENUINE,,Area Sales Manager,Enterprise & B2B Sales Department,6 Dec 2021
5.0,5.0,1,Company is Xcilent and v v strong in each and every manufacturing units with Xcilent customer service.,POSITIVE,1.0,V v v poor management behaviors over there sse with total missleding unfair and unrulling,NEGATIVE,-1.0,company is xcilent and v v strong in each and every manufacturing units with xcilent customer service. v v v poor management behaviors over there sse with total missleding unfair and unrulling,NEUTRAL,0.0,AMBIGUOUS,,Senior Sales Executive,BD / Pre Sales Department,1 Nov 2021
4.0,4.0,1,"Except work life balance,  remaining benefits are ok",POSITIVE,1.0,Work life balance,POSITIVE,1.0,"except work life balance, remaining benefits are ok work life balance",POSITIVE,0.25,GENUINE,,Assistant Manager,SCM & Logistics Department,3 Jun 2023
5.0,5.0,1,Yes,POSITIVE,1.0,Lg company is. Very good,POSITIVE,1.0,yes lg company is. very good,POSITIVE,1.0,GENUINE,,Sales Promoter,,1 Jul 2022
3.0,3.0,0,Only job security,NEGATIVE,-1.0,Pathetic work life balance & Pathetic payscale,NEGATIVE,-1.0,only job security pathetic work life balance pathetic payscale,NEGATIVE,-0.5,AMBIGUOUS,,Senior Engineer I,Engineering & Manufacturing Department,0 Feb 2022
5.0,5.0,1,The environment there was very good.  Staff was very nice.  I really enjoyed working there.  i learned a lot too,POSITIVE,1.0,There is nothing like dislike.,NEGATIVE,-1.0,the environment there was very good. staff was very nice. i really enjoyed working there. i learned a lot too there is nothing like dislike.,NEUTRAL,0.0,AMBIGUOUS,,Customer Service Representative,Retail & B2C Sales Department,6 May 2022
5.0,5.0,1,Very good brand,POSITIVE,1.0,Nothing to nagitive here,NEGATIVE,-1.0,very good brand nothing to nagitive here,NEUTRAL,0.0,AMBIGUOUS,,Sales Officer 1,,1 Jun 2022
3.0,3.0,0,Mujhko lg me kam karana achha lagta hai,NEGATIVE,-1.0,Nhi,POSITIVE,1.0,mujhko lg me kam karana achha lagta hai nhi,NEGATIVE,-0.5,AMBIGUOUS,,Air Condition Technician,,8 Jun 2022
4.0,4.0,1,5s activity and work planning time to time shop floor upgrade and training etc.,NEUTRAL,0.0,"Team work, good beheave of others",POSITIVE,1.0,"5s activity and work planning time to time shop floor upgrade and training etc. team work, good beheave of others",POSITIVE,0.75,GENUINE,,Maintenance Supervisor,"Operations, Maintenance & Support Department",0 Apr 2022
5.0,5.0,1,Very nice company in he /ha product,POSITIVE,1.0,Culture & system,POSITIVE,1.0,very nice company in he /ha product culture system,POSITIVE,0.75,GENUINE,,Sales Off,Business Intelligence & Analytics Department,4 Mar 2022
3.0,3.0,0,Growth slow,NEGATIVE,-1.0,Company policies is good and management is very good,POSITIVE,1.0,growth slow company policies is good and management is very good,NEUTRAL,0.0,AMBIGUOUS,,Manager Accounts,Top Management Department,8 Apr 2022
5.0,5.0,1,About environment and so cooperative collegues,POSITIVE,1.0,Growth is less being an off role employee,POSITIVE,1.0,about environment and so cooperative collegues growth is less being an off role employee,POSITIVE,0.25,GENUINE,,Mobile Repairing,Content Management (Print / Online / Electronic) Department,6 May 2022
5.0,5.0,1,Good,POSITIVE,1.0,Far away from city,NEGATIVE,-1.0,good far away from city,POSITIVE,0.75,GENUINE,,Team Lead-Zonal Coordinator,Customer Service Department,7 Jan 2022
5.0,5.0,1,Good work culture,POSITIVE,1.0,Work life balance is good,POSITIVE,1.0,good work culture work life balance is good,POSITIVE,0.5,GENUINE,,Purchase Engineer,Procurement & Purchase Department,0 Apr 2022
5.0,5.0,1,I am happy for my campny,POSITIVE,1.0,But caunter is not shutebal,POSITIVE,1.0,i am happy for my campny but caunter is not shutebal,POSITIVE,0.5,GENUINE,,Assistant Manager,Import & Export Department,6 Dec 2021
5.0,5.0,1,Company is good.,POSITIVE,1.0,Learning is limited to your work,NEGATIVE,-1.0,company is good. learning is limited to your work,NEUTRAL,0.0,AMBIGUOUS,,HE Technical Coordinator,Customer service  Department,0 May 2022
1.0,1.0,-1,If you are jobless in that case you can take up aaignment in LG,NEGATIVE,-1.0,They make you join with fake promises and expect you to work on same level always,NEGATIVE,-1.0,if you are jobless in that case you can take up aaignment in lg they make you join with fake promises and expect you to work on same level always,POSITIVE,0.5,INCONSISTENT,,Business Manager,Retail & B2C Sales Department,9 Jan 2022
3.0,3.0,0,No work life balance,NEGATIVE,-1.0,"Nothing 
Culture is very poor",NEGATIVE,-1.0,no work life balance nothing culture is very poor,NEGATIVE,-1.0,AMBIGUOUS,,Sales Manager,BD / Pre Sales Department,5 Mar 2022
1.0,1.0,-1,"Culture
No skill upgradation",NEGATIVE,-1.0,Empowering people,POSITIVE,1.0,culture no skill upgradation empowering people,NEUTRAL,0.0,AMBIGUOUS,,Deputy Manager,Engineering Department,3 Dec 2022
5.0,5.0,1,Very much agressive organization,NEGATIVE,-1.0,Facilities,POSITIVE,1.0,very much agressive organization facilities,NEUTRAL,0.0,AMBIGUOUS,,Agm Materials,Procurement & Purchase Department,5 Mar 2022
1.0,1.0,-1,Worst work life Balance,NEGATIVE,-1.0,Nice company Culture,POSITIVE,1.0,worst work life balance nice company culture,NEGATIVE,-0.25,GENUINE,,Senior Engineer,Engineering & Manufacturing Department,2 Feb 2022
4.0,4.0,1,"There is No Bond , But Less possibilities of Join On Company Role",NEGATIVE,-1.0,Good,POSITIVE,1.0,"there is no bond , but less possibilities of join on company role good",POSITIVE,0.25,GENUINE,,Executive Scm,,7 Jun 2022
5.0,5.0,1,Thank you lg,POSITIVE,1.0,Job security Good management company policies,POSITIVE,1.0,thank you lg job security good management company policies,POSITIVE,0.75,GENUINE,,Service Coordinator,Operations Support Department,9 May 2022
5.0,5.0,1,"1. Company policies are good.
2. Company growing up.
3. Team mates are good.
4. Team leader are helpful.
5. Proper training provides.
6. Salary structure is very good.",POSITIVE,1.0,No one.,NEGATIVE,-1.0,1. company policies are good. 2. company growing up. 3. team mates are good. 4. team leader are helpful. 5. proper training provides. 6. salary structure is very good. no one.,NEGATIVE,-0.25,INCONSISTENT,,Area Service Manager,After Sales Service & Repair Department,4 Jun 2022
4.0,4.0,1,Employee friendly,POSITIVE,1.0,Working Hours,POSITIVE,1.0,employee friendly working hours,POSITIVE,0.5,GENUINE,,Assistant Branch Accounts Manager,Accounting & Taxation Department,2 Apr 2022
5.0,5.0,1,HQ is Good,POSITIVE,1.0,Local Culture is not satisfactory,NEGATIVE,-1.0,hq is good local culture is not satisfactory,NEUTRAL,0.0,AMBIGUOUS,,Desktop Support Engineer,Software Development Department,4 Oct 2022
5.0,5.0,1,Good communication with company meanting friendly nature with employes,POSITIVE,1.0,LG is one of the best company,POSITIVE,1.0,good communication with company meanting friendly nature with employes lg is one of the best company,POSITIVE,0.75,GENUINE,,Sales Promoter,Banking Operations Department,2 Apr 2022
5.0,5.0,1,I complete my 31 days Internship and this period improve my communication my knowledge and every thing,POSITIVE,1.0,Salary is good. But not with work life balance. No pre planned timing for in and out. May be working with more than 10 hours a day as well.,NEGATIVE,-1.0,i complete my 31 days internship and this period improve my communication my knowledge and every thing salary is good. but not with work life balance. no pre planned timing for in and out. may be working with more than 10 hours a day as well.,POSITIVE,0.5,GENUINE,,Sales Executive,,0 Dec 2021
2.0,2.0,-1,"Not a good place to work. Most of the employees work for 1-2 years nowadays and opt for new opportunity for the growth. Not a place to get growth just work work work with no results, only work upon the already established technology.",NEGATIVE,-1.0,"My best experience in 
In LG ELECTRONICS PVT LTD ALSO I LIKE SERVICE",POSITIVE,1.0,"not a good place to work. most of the employees work for 1-2 years nowadays and opt for new opportunity for the growth. not a place to get growth just work work work with no results, only work upon the already established technology. my best experience in in lg electronics pvt ltd also i like service",POSITIVE,0.25,INCONSISTENT,,Production Support Engineer,,1 May 2021
5.0,5.0,1,Working section under service center,POSITIVE,1.0,Too supporting from company end more than that of svc,NEGATIVE,-1.0,working section under service center too supporting from company end more than that of svc,NEGATIVE,-0.25,INCONSISTENT,,Seles Executive,Patna Department,1 Apr 2022
4.0,4.0,1,company is good marvellous and excellent it has got many important features that others don't,POSITIVE,1.0,"They'll remove so fast if 5
target is not achieved",NEGATIVE,-1.0,company is good marvellous and excellent it has got many important features that others don't they'll remove so fast if 5 target is not achieved,POSITIVE,0.25,GENUINE,,Office Assistant Data Entry Operator,Back Office Department,9 Jan 2022
5.0,5.0,1,company policy,POSITIVE,1.0,growth are avarage,NEGATIVE,-1.0,company policy growth are avarage,NEUTRAL,0.0,AMBIGUOUS,,LG Sales Promoter,Finance & Accounts Department,1 Apr 2022
5.0,5.0,1,Working culture,POSITIVE,1.0,Timing,POSITIVE,1.0,working culture timing,POSITIVE,0.25,GENUINE,,Seniors Sales Executive,Marketing Department,1 Jan 2022
3.0,3.0,0,"Good salary, bonus",POSITIVE,1.0,"Poor Work life balance
Poor management, less humanity",NEGATIVE,-1.0,"good salary, bonus poor work life balance poor management, less humanity",NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,Engineering & Manufacturing Department,5 Jan 2022
3.0,3.0,0,Good,POSITIVE,1.0,Nothing to tell good infrastructure,NEGATIVE,-1.0,good nothing to tell good infrastructure,POSITIVE,0.75,AMBIGUOUS,,Senior Customer Support Engineer,Voice / Blended Department,4 Jun 2022
5.0,5.0,1,"Good work environment and culture. Teammates are supportive and the management is transparent. Company policies are good, appraisals are fair and they give good salery hikeand bonus every year",POSITIVE,1.0,Salery is decent but career growth is slow,NEGATIVE,-1.0,"good work environment and culture. teammates are supportive and the management is transparent. company policies are good, appraisals are fair and they give good salery hikeand bonus every year salery is decent but career growth is slow",POSITIVE,0.25,GENUINE,,Sse,,6 Aug 2021
5.0,5.0,1,Life goods,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,life goods nothing,NEUTRAL,0.0,AMBIGUOUS,,Sales Executive,Retail & B2C Sales Department,7 May 2022
5.0,5.0,1,ASM Not Supported ASM behavior Not Good. Sales Officer Job Not a Company Job. Like Distributor employee Job,NEGATIVE,-1.0,"you know what.  Already in one year, two sales officers have left their jobs.",NEGATIVE,-1.0,"asm not supported asm behavior not good. sales officer job not a company job. like distributor employee job you know what. already in one year, two sales officers have left their jobs.",NEGATIVE,-1.0,INCONSISTENT,,Sales Officer,Sales & Distribution Department,8 Jun 2022
4.0,4.0,1,You will get great learnings and different types of customers.,POSITIVE,1.0,Politics,NEGATIVE,-1.0,you will get great learnings and different types of customers. politics,POSITIVE,0.75,GENUINE,,Salesman,Sales Department,5 Mar 2022
3.0,3.0,0,Very good company,POSITIVE,1.0,Nothing bad overall,POSITIVE,1.0,very good company nothing bad overall,POSITIVE,0.5,AMBIGUOUS,,Sr. Bde,,6 Jun 2022
4.0,4.0,1,Job security,POSITIVE,1.0,No Skill development and  work life balance,NEGATIVE,-1.0,job security no skill development and work life balance,NEUTRAL,0.0,AMBIGUOUS,,Engineer,Research & Development Department,8 Apr 2022
1.0,1.0,-1,Not credit my FNF till time in my acount,NEGATIVE,-1.0,Not satisfy,NEGATIVE,-1.0,not credit my fnf till time in my acount not satisfy,NEGATIVE,-0.75,GENUINE,,Team Leader,Marketing Department,6 Jul 2020
5.0,5.0,1,Good for the knowledge and experience and different category comparison,POSITIVE,1.0,No,NEGATIVE,-1.0,good for the knowledge and experience and different category comparison no,NEGATIVE,-0.25,INCONSISTENT,,Sales Coordinator,Xba Sales coordinator Department,8 Dec 2022
2.0,2.0,-1,I don’t  see any liking till now working at LG,NEGATIVE,-1.0,"No family life, No Holiday and Every day working culture",NEGATIVE,-1.0,"i don t see any liking till now working at lg no family life, no holiday and every day working culture",NEGATIVE,-0.75,GENUINE,,Accounts,Accounting & Taxation Department,5 Nov 2021
5.0,5.0,1,Work culture,POSITIVE,1.0,Salary,POSITIVE,1.0,work culture salary,POSITIVE,0.25,GENUINE,,Team Manager,,6 Apr 2022
4.0,4.0,1,Company facility,POSITIVE,1.0,Work life balance,POSITIVE,1.0,company facility work life balance,POSITIVE,0.75,GENUINE,,Senior Engineer II In Procurement Department.,Procurement Department,1 Apr 2022
3.0,3.0,0,JOB SECURITY IS GOOD,POSITIVE,1.0,Working culture,POSITIVE,1.0,job security is good working culture,POSITIVE,0.5,AMBIGUOUS,,Senior Engineer 2,Engineering & Manufacturing Department,9 Apr 2022
4.0,4.0,1,Continuous learning,POSITIVE,1.0,"Late sitting culture, very slow growth",NEGATIVE,-1.0,"continuous learning late sitting culture, very slow growth",POSITIVE,0.25,GENUINE,,Senior Engineer,Pharmaceutical & Biotechnology Department,9 Apr 2022
4.0,4.0,1,Karya m santushti,POSITIVE,1.0,No,NEGATIVE,-1.0,karya m santushti no,NEGATIVE,-0.5,INCONSISTENT,,Sampling Manager,,6 Jun 2022
1.0,1.0,-1,Yes  I like you job but so very perfect my kariye,POSITIVE,1.0,Ha,POSITIVE,1.0,yes i like you job but so very perfect my kariye ha,POSITIVE,0.75,INCONSISTENT,,Hariyana,"Trading, Asset & Wealth Management Department",2 Apr 2022
3.0,3.0,0,"Big Organization
Multiple opportunities
Decent package depends upon your Negotiation capability
Good Infrastructure",POSITIVE,1.0,"No Work Life Balance
More inclined to B2C
Processes need to more friendly for B2B",NEGATIVE,-1.0,big organization multiple opportunities decent package depends upon your negotiation capability good infrastructure no work life balance more inclined to b2c processes need to more friendly for b2b,NEGATIVE,-0.25,AMBIGUOUS,,Deputy Manager,BD / Pre Sales Department,2 Jan 2022
4.0,4.0,1,Systematic with discipline,POSITIVE,1.0,Salary issue,NEGATIVE,-1.0,systematic with discipline salary issue,NEGATIVE,-0.25,INCONSISTENT,,Assistant Manager Warehouse,SCM & Logistics Department,4 Apr 2022
5.0,5.0,1,"I'm Really very satisfied with this opportunity, completely changed my life in this job",POSITIVE,1.0,"Thesre is no decision making process of that role, please change salaries slab please hike the salaries",NEGATIVE,-1.0,"i'm really very satisfied with this opportunity, completely changed my life in this job thesre is no decision making process of that role, please change salaries slab please hike the salaries",NEUTRAL,0.0,AMBIGUOUS,,Team Leader,Enterprise & B2B Sales Department,7 Jan 2022
4.0,4.0,1,"Good salary ,salary is before time ,but huge bad culture and wrong politics",NEGATIVE,-1.0,Politics is bad there,NEGATIVE,-1.0,"good salary ,salary is before time ,but huge bad culture and wrong politics politics is bad there",NEGATIVE,-0.5,INCONSISTENT,,Sales Person,Retail & B2C Sales Department,5 Nov 2021
5.0,5.0,1,Working environment,POSITIVE,1.0,Work presy,NEGATIVE,-1.0,working environment work presy,POSITIVE,0.25,GENUINE,,Sales Intern,,6 Dec 2022
5.0,5.0,1,Working style,POSITIVE,1.0,Timing,POSITIVE,1.0,working style timing,POSITIVE,0.25,GENUINE,,Area Sales Officer,Enterprise & B2B Sales Department,3 Feb 2022
5.0,5.0,1,As a team we coordinate,POSITIVE,1.0,Nothing to dislike.i love my job,POSITIVE,1.0,as a team we coordinate nothing to dislike.i love my job,POSITIVE,0.75,GENUINE,,Home Appliance Service,Customer Service Department,0 Jan 2022
5.0,5.0,1,Job security thoda Kam hai Baki sab kuch best hai lg company me,POSITIVE,1.0,Only for job security,NEGATIVE,-1.0,job security thoda kam hai baki sab kuch best hai lg company me only for job security,NEGATIVE,-0.5,INCONSISTENT,,Senior Sales Officer,Corporate Communication Department,9 Dec 2021
5.0,5.0,1,On time salary,POSITIVE,1.0,No regrets,POSITIVE,1.0,on time salary no regrets,POSITIVE,0.75,GENUINE,,Store Manager,Administration Department,0 Apr 2022
5.0,5.0,1,Overall Good Company am really enjoy the job,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,overall good company am really enjoy the job nothing,NEGATIVE,-0.25,INCONSISTENT,,Salesman,Guru nanak mission chownk  Department,0 Jan 2022
5.0,5.0,1,Good and safety to work,POSITIVE,1.0,Strict in work,POSITIVE,1.0,good and safety to work strict in work,POSITIVE,1.0,GENUINE,,Cust Care Officer,IT Network Department,1 Apr 2022
2.0,2.0,-1,Security.. and management,POSITIVE,1.0,"This is best choice to learn more, it's help to grown our skills and future",POSITIVE,1.0,"security.. and management this is best choice to learn more, it's help to grown our skills and future",POSITIVE,0.75,INCONSISTENT,,Hyderabad,Standard Room Department,1 Jun 2022
5.0,5.0,1,Lg is south korean biggest electronics compnay which is provide best management for employees. LG is caring for employees provide best incentive plan for more ernings and best service provider. LG gives education money for education health insurance for employees. LG always thinking about emplyoee career for growth and development employee skills.,POSITIVE,1.0,There is no any dislike,POSITIVE,1.0,lg is south korean biggest electronics compnay which is provide best management for employees. lg is caring for employees provide best incentive plan for more ernings and best service provider. lg gives education money for education health insurance for employees. lg always thinking about emplyoee career for growth and development employee skills. there is no any dislike,POSITIVE,0.75,GENUINE,,Senior Sales Executive,,3 May 2021
5.0,5.0,1,its been great working exepriced and leanrn a lot,POSITIVE,1.0,Nice place to work. Good growth opportunities,POSITIVE,1.0,its been great working exepriced and leanrn a lot nice place to work. good growth opportunities,POSITIVE,0.5,GENUINE,,Sales Officer,Sales & Marketing Department,9 Feb 2022
